state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,country_name,designated_area,declaration_request_number,deaths,incident_duration
Arkansas,Velika katastrofa,2009-12-03,Severe Storm,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2009-10-29,2009-11-08,Marion County (Arkansas),Marion (County),9121,6614,22
Florida,Velika katastrofa,1973-05-26,Flood,Severe Storms & Flooding,0,1,1,0,1973-05-26,1973-05-26,Columbia County (Florida),Columbia (County),73045,2798,11
Pennsylvania,Velika katastrofa,2003-08-23,Severe Storm,"Severe Storms, Tornadoes, And Flooding",1,1,1,1,2003-07-21,2003-09-12,Wayne County (Pennsylvania),Wayne (County),3085,5442,17
Alabama,Velika katastrofa,2003-05-12,Severe Storm,"Severe Storms, Tornadoes, And Flooding",1,1,0,0,2003-05-05,2003-05-30,Mobile County,Mobile (County),3041,1400,8
Puerto Rico,Upravljanje hitnim situacijama,2017-09-18,Hurricane,Hurricane Maria,0,0,1,0,2017-09-17,2017-11-15,Quebradillas Municipio,Quebradillas (Municipio),17115,1860,17
Mississippi,Upravljanje hitnim situacijama,2008-08-30,Hurricane,Hurricane Gustav,0,0,1,0,2008-08-28,2008-09-08,Madison County (Mississippi),Madison (County),8134,9507,8
Texas,Upravljanje hitnim situacijama,2005-09-21,Hurricane,Hurricane Rita,0,0,1,0,2005-09-20,2005-10-14,Grayson County (Texas),Grayson (County),5137,9127,4
Colorado,Velika katastrofa,2013-09-14,Flood,"Severe Storms, Flooding, Landslides, And Mudslides",0,0,1,1,2013-09-11,2013-09-30,Crowley County,Crowley (County),13085,9901,11
South Dakota,Velika katastrofa,1996-01-05,Snowstorm,Severe Winter Storm,0,0,1,0,1995-10-22,1995-10-24,Deuel County (South Dakota),Deuel (County),96008,96,8
Puerto Rico,Velika katastrofa,1985-10-10,Flood,"Severe Storms, Flooding & Mudslides",0,1,1,0,1985-10-04,1985-10-07,Yauco Municipio,Yauco (Municipio),85064,5960,10
Wisconsin,Velika katastrofa,1965-04-21,Tornado,"Tornadoes, Severe Storms & Flooding",0,1,1,0,1965-04-21,1965-04-21,Jefferson County (Wisconsin),Jefferson (County),65018,2253,2
Iowa,Velika katastrofa,1991-07-12,Flood,Severe Storms & Flooding,0,1,1,0,1991-06-01,1991-06-15,Clayton County (Iowa),Clayton (County),91031,365,5
Minnesota,Velika katastrofa,1993-06-11,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,1,0,1993-05-06,1993-08-25,Cottonwood County,Cottonwood (County),93051,4310,22
South Dakota,Velika katastrofa,2014-07-28,Flood,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2014-06-13,2014-06-20,Perkins County (South Dakota),Perkins (County),14057,7265,11
South Dakota,Upravljanje hitnim situacijama,1976-06-17,Drought,Drought,0,0,1,0,1976-06-17,1976-06-17,Lake County (South Dakota),Lake (County),76055,7554,17
